name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,Calories,Fat,Saturated,Carbs,Sugar,Fibre,Protein,Salt
Gluten Free Pizzas,GF Cheese & Tomato,Small,260,1087,10.1,5.9,32.1,3.6,3,8.7,1.29,0.51,804,3360,31.1,18.2,99.3,11,9.3,26.7,4,1.57,40,44,91,38,12,31,53,67
Gluten Free Pizzas,GF Vegi Supreme,Small,205,856,6.6,3.7,29,3.7,3,6,0.94,0.37,744,3116,24,13.5,105.7,13.3,10.9,21.8,3.42,1.34,37,34,68,41,15,36,44,57
Gluten Free Pizzas,GF Pepperoni Passion,Small,303,1262,16,8,27.6,3,2.6,10.7,1.85,0.73,1097,4574,58.1,28.9,99.9,11,9.3,38.8,6.7,2.63,55,83,144,38,12,31,78,112
Gluten Free Pizzas,GF Texas BBQ,Small,283,1191,9.7,3.5,38.5,13.4,3.1,9.3,1.6,0.63,824,3469,28.1,10.1,112.1,38.9,9.1,27,4.67,1.84,41,40,50,43,43,30,54,78
Gluten Free Pizzas,GF New Yorker,Small,259,1082,12.1,5.1,26.7,2.9,2.6,9.4,1.67,0.66,964,4027,44.9,19,99.4,10.8,9.6,35.1,6.23,2.45,48,64,95,38,12,32,70,104
Vegan Pizza,Vegan Margherita,Medium,277,1159,8.8,6,42.5,5.1,2.9,8.5,1.07,0.42,500,2092,15.9,10.8,76.7,9.2,5.2,15.3,1.92,0.76,25,23,54,30,10,17,31,32
Vegan Pizza,Vegan Vegi Supreme,Medium,233,975,7.1,4.6,36.1,5.8,2.5,7.5,0.88,0.35,503,2103,15.3,9.9,77.9,12.5,5.4,16.2,1.89,0.74,25,22,50,30,14,18,32,32
Vegan Pizza,Vegan Margherita - Italian Style,Large,248,1044,8,5.4,35.3,5,2.2,7.7,1.18,0.47,439,1848,45.9,29.7,233.7,37.5,16.2,48.6,5.67,2.27,22,66,148,90,42,54,97,94
Vegan Pizza,Vegan Vegi Supreme - Italian Style,Large,219,920,7.3,5.2,30.7,4.1,2.2,6.4,0.88,0.35,456,1915,15.2,10.8,63.9,8.5,4.6,13.3,1.83,0.73,23,22,54,25,9,15,27,30
American Hot,Classic Crust,Large,272,1144,11.1,5.1,30.2,6.3,1.9,11.9,1.75,0.69,626,2631,25.6,11.8,69.6,14.4,4.4,27.3,4.02,1.58,31,37,59,27,16,15,55,67
American Hot,Classic Crust,Medium,285,1193,12.3,5.8,31.6,6.4,2.1,10.9,1.76,0.69,567,2378,24.4,11.5,63,12.7,4.2,21.7,3.51,1.38,28,35,57,24,14,14,43,58
American Hot,Classic Crust,Small,255,1065,10.6,5,27.4,4,2.2,11.6,1.57,0.62,1044,4360,43.2,20.5,112.2,16.2,9.1,47.5,6.41,2.52,52,62,102,43,18,30,95,107
American Hot,Classic Crust,Personal,311,1308,11,5.1,41.9,6.1,2.1,10.1,1.8,0.71,588,2476,20.8,9.6,79.3,11.6,3.9,19.2,3.41,1.34,29,30,48,30,13,13,38,57
American Hot,Italian Style Crust,Large,269,1127,12.3,5.7,25.1,7.1,2,13.6,1.87,0.74,517,2165,23.6,11,48.1,13.6,3.9,26.1,3.6,1.42,26,34,55,18,15,13,52,60
American Hot,Italian Style Crust,Medium,273,1142,12.8,5.9,25.6,6.8,2.2,12.8,1.93,0.76,458,1918,21.4,10,43,11.4,3.7,21.5,3.25,1.28,23,31,50,17,13,12,43,54
American Hot,Italian Style Crust,Small,293,1228,13.3,6.3,30.8,3.6,1.9,11.7,1.97,0.78,915,3833,41.6,19.8,96.1,11.2,5.9,36.6,6.16,2.42,46,59,99,37,12,20,73,103
American Hot,Stuffed Crust,Large,253,1057,11.1,5.6,25.4,6.5,3.8,10.8,1.6,0.63,673,2818,29.7,15,67.6,17.3,10.2,28.7,4.26,1.67,34,42,75,26,19,34,57,71
