dish,type,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,serves,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,Calories,Fat,Saturated,Carbs,Sugar,Fibre,Protein,Salt
Chick 'n' Mix,side,229,963,10.6,2.6,14,0.5,0.8,19.5,1.43,0.56,2,386,1622,17.9,4.4,23.6,0.8,1.3,32.8,2.42,0.95,19,26,22,9,1,4,66,40
Chicken Kickers (7),side,213,896,7,1.3,15.4,0.4,1.2,21.1,1.5,0.59,2,186,784,6.1,1.1,13.5,0.4,1.1,18.4,1.31,0.52,9,9,6,5,0,4,37,22
Chicken Kickers (14),side,213,896,7,1.3,15.4,0.4,1.2,21.1,1.5,0.59,4,186,784,6.1,1.1,13.5,0.4,1.1,18.4,1.31,0.52,9,9,6,5,0,4,37,22
Chicken Kickers Combo UK,side,178,745,6.5,1,18,0.7,1.8,10.6,1.11,0.44,4,178,745,6.5,1,18,0.7,1.8,10.6,1.11,0.44,9,9,5,7,1,6,21,19
Chicken Kickers Combo IRL,side,176,738,6.5,0.9,18.1,0.8,1.9,10.1,1.1,0.43,4,187,784,6.9,1,19.2,0.8,2,10.8,1.17,0.46,9,10,5,7,1,7,22,19
Chicken Strippers (7),side,273,1146,10.8,1.8,23.5,0,1.2,21.1,1.5,0.59,2,268,1123,10.6,1.8,23,0,1.2,20.6,1.47,0.58,13,15,9,9,0,4,41,24
Chicken Strippers (14),side,273,1146,10.8,1.8,23.5,0,1.2,21.1,1.5,0.59,4,268,1123,10.6,1.8,23,0,1.2,20.6,1.47,0.58,13,15,9,9,0,4,41,24
Chicken Strippers Combo UK,side,207,869,8.3,1.2,21.6,0.5,1.8,11.1,1.13,0.45,4,218,914,8.7,1.3,22.8,0.6,1.9,11.7,1.19,0.47,11,12,6,9,1,6,23,20
Chicken Strippers Combo IRL,side,204,855,8.2,1.2,21.5,0.6,1.8,10.7,1.12,0.44,4,228,953,9.1,1.3,24,0.6,2,11.9,1.24,0.49,11,13,6,9,1,7,24,21
Chicken Wings (7),side,203,852,13.3,4.3,4.3,1,0,16.8,1.32,0.52,2,222,932,14.5,4.7,4.7,1.1,0,18.4,1.45,0.57,11,21,24,2,1,0,37,24
Chicken Wings (14),side,203,852,13.3,4.3,4.3,1,0,16.8,1.32,0.52,4,222,932,14.5,4.7,4.7,1.1,0,18.4,1.45,0.57,11,21,24,2,1,0,37,24
